DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/08/19 13:33:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.68574,-47.73077,22.0
2021/08/19 13:33:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.73884,-48.1404,20.4
2021/08/19 13:33:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.68438,-47.74055,50.1
2021/08/19 03:57:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.65694,-47.67471,4.0
2021/08/19 03:57:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.66144,-47.67559,4.0
2021/08/19 04:12:00,AQUA_M-M,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.65441,-47.66986,17.7
2021/08/19 17:20:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.76341,-47.68056,4.3
2021/08/19 17:20:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,27.0,0.0,1.0,-15.54253,-48.16108,6.3
2021/08/20 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.53504,-47.47607,9.3
2021/08/20 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.61861,-48.19218,11.6
2021/08/20 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.61335,-48.19262,11.6
2021/08/20 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,33.0,0.0,1.0,-15.73794,-48.16634,4.0
