latitude,longitude,objectid,id_grade,id_20km_rcp4,ano,periodo,mntp,mxtp,ocis,prec,ur2m,u10m,v10m,u100,v100,tp2m,
null,null,2006079,14010,81,2006,1136073600000,20.2095,30.6409,282,1427,52.1467,-1.31691,-0.530613,-1.89789,-0.642946,25.6331,
null,null,2006080,14011,82,2006,1136073600000,20.4352,30.7544,283,1540,51.3137,-1.23177,-0.452688,-1.75957,-0.58822,25.7779,
null,null,2006081,14012,83,2006,1136073600000,20.653,30.7449,282,1691,50.5361,-1.01233,-0.357666,-1.70014,-0.618519,25.8573,
null,null,2006082,14013,84,2006,1136073600000,19.9049,29.8172,284,1546,51.3387,-2.28327,-0.759255,-3.23704,-1.04098,24.9614,
null,null,2006083,14014,85,2006,1136073600000,15.8904,25.3716,301,459,57.7908,-1.67398,-0.373906,-3.92661,-1.06252,20.5138,
null,null,2006084,14015,86,2006,1136073600000,16.4365,26.1354,295,741,57.1113,-2.00472,-0.276157,-3.27899,-0.629441,21.3049,
null,null,2006085,14016,87,2006,1136073600000,18.0421,28.138,291,823,54.4731,-1.34842,-0.068643,-2.61318,-0.360146,23.1926,
null,null,2006086,14017,88,2006,1136073600000,19.9107,30.5732,286,921,51.6949,-1.36219,-0.016569,-1.94329,-0.08973,25.3794,
null,null,2006087,14018,89,2006,1136073600000,19.6547,30.5438,287,862,52.0971,-1.38282,-0.114547,-1.82164,-0.170886,25.1925,
null,null,2006088,14019,90,2006,1136073600000,19.3195,30.4011,287,917,52.3838,-1.87163,-0.352501,-2.62842,-0.482953,24.9348,
null,null,2006089,14020,91,2006,1136073600000,18.1441,29.169,289,905,53.5273,-1.9855,-0.311834,-3.7318,-0.907761,23.7288,
null,null,2006090,14021,92,2006,1136073600000,17.0151,28.1074,292,787,54.9661,-2.7627,-0.656872,-4.24381,-0.958383,22.6296,
null,null,2006091,14022,93,2006,1136073600000,16.7855,28.1829,292,824,54.4428,-2.9365,-0.618397,-4.34103,-0.860441,22.5911,
null,null,2006092,14023,94,2006,1136073600000,16.6266,28.1582,292,820,54.5039,-3.02064,-0.614585,-4.38651,-0.701951,22.5037,
null,null,2006093,14024,95,2006,1136073600000,16.5451,27.9907,293,817,54.8501,-3.12325,-0.495604,-4.49375,-0.575636,22.3646,
null,null,2006094,15006,96,2006,1136073600000,18.9051,27.8935,283,1036,56.1574,-1.69264,-0.809833,-2.52984,-1.12749,23.3947,
null,null,2006095,15007,97,2006,1136073600000,19.8085,29.45,281,1280,54.2027,-1.53323,-0.792087,-2.13415,-1.10366,24.7675,
